dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
30.477,13.1558,1.54185,0,1,0.144238,0.142088,0.286326,0.684609,0.327655,0.8,-0
30.678,13.2177,1.41619,0,1,0.193316,0.135176,0.328492,0.645347,0.291816,0.8,-0
30.878,13.2827,1.30145,0,1,0.244953,0.134852,0.379805,0.604037,0.272395,0.8,-0
31.078,13.3497,1.19656,0,1,0.294183,0.130038,0.424222,0.564653,0.244428,0.8,-0
31.278,13.4166,1.10223,0.378676,0.621324,0.103779,0.406533,0.695745,0.716977,0.142594,0.8,-1.5
31.478,13.5081,0.986255,0.435702,0.564298,0.00335843,0.350262,0.63525,0.797313,0.0155839,0.8,-1.5
31.679,13.5899,0.889697,0.481253,0.518747,0.0156816,0.289165,0.639391,0.787455,-0.137118,0.8,-1.5
31.879,13.6918,0.768718,0.511634,0.488366,0.0183665,0.291563,0.662993,0.785307,-0.130658,0.8,-1.5
32.079,13.7903,0.646368,0.516199,0.483801,0.00852643,0.280963,0.656254,0.746093,-0.174863,0.739271,-1.5
32.28,13.8835,0.526337,0.599881,0.400119,0.0103935,0.287815,0.7192,0.791685,-0.141317,0.8,-1.5
32.48,13.9905,0.380097,1,0,0.0111035,0.288825,1,0.791117,-0.138628,0.8,-1.5
32.68,14.0607,0.278233,1,0,0.0861857,0.16343,1,0.731051,-0.465913,0.8,-1.5
32.881,14.1383,0.150442,1,0,0.0825673,0.181412,1,0.733946,-0.411423,0.8,-1.5
33.082,14.1652,0.128384,0.405479,0.594521,0.0411033,0.477465,0.713778,0.0328826,-1.5,-0,-0
33.282,14.1552,0.10118,1,0,0.14785,0.655225,1,-0.11828,2.05845,-0,-0
33.482,14.1419,0.152137,1,0,0.546086,0.72744,1,-0.436869,2.28532,-0,-0
33.682,14.1565,0.139702,0.241115,0.758885,0.0145341,0.0104919,0.260107,0.0116273,-0.0329612,-0,-0
33.885,14.1569,0.138596,0.196457,0.803543,0.0096488,0.0110778,0.213111,0.00771904,-0.034802,-0,-0
34.086,14.1573,0.137346,0.116679,0.883321,0.0034035,0.0134564,0.131572,0.0027228,-0.0422745,-0,-0
34.286,14.1574,0.136759,0.14508,0.85492,0.00526205,0.0152452,0.162612,0.00420964,-0.0478941,-0,-0
34.487,14.1577,0.135931,0.134701,0.865299,0.00453607,0.00105547,0.139539,0.00362885,0.00331587,-0,-0
34.687,14.1578,0.135501,-0.120513,1.12051,0.00363085,0.00346102,-0.112567,-0.00290468,-0.0108731,-0,-0
34.888,14.1578,0.135684,-0.0854392,1.08544,0.00182496,0.00592555,-0.0770265,-0.00145997,-0.0186157,-0,-0
35.087,14.1577,0.135908,0.0230511,0.976949,0.000132839,0.00707325,0.0300911,0.000106271,-0.0222213,-0,-0
35.288,14.1577,0.135847,0.107941,0.892059,0.00291283,0.00952991,0.119041,0.00233026,-0.0299391,-0,-0
35.488,14.1579,0.135316,0.123428,0.876572,0.00380861,0.0115373,0.13688,0.00304689,-0.0362454,-0,-0
35.689,14.158,0.134744,0.128708,0.871292,0.00414145,0.0117103,0.14252,0.00331316,-0.036789,-0,-0
35.889,14.1582,0.133981,0.16153,0.83847,0.00652302,0.0130223,0.177919,0.00521841,-0.0409109,-0,-0
36.089,14.1584,0.132963,0.16539,0.83461,0.00683846,0.0119932,0.181107,0.00547077,-0.0376778,-0,-0
36.289,14.1587,0.131797,0.179659,0.820341,0.0080693,0.0117621,0.195927,0.00645544,-0.0369516,-0,-0
