joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.372483,-0.562768,1.61956,0.96708,1,0.465604,0.375179,0.858375,
0,0,0.372483,-0.375268,1.59474,0.972148,1,0.465604,0.250179,0.730666,
0,0,0.372483,-0.187768,1.48536,0.516869,1,0.465604,0.125179,0.848966,
0,0,0.372483,-0.000267751,1.11938,0.168332,1,0.465604,0.0001785,0.910223,
0,0,0.372483,0.187232,0.678733,0.100187,1,0.465604,0.124821,1.07128,
0,0,0.372483,0.374732,0.254643,0.0703954,0.332483,0.465604,0.249821,1.71296,
0,0,0.372483,0.562232,0.0193965,0.0170399,0.0130424,0.465604,0.374821,1.98274,
0,0,0.372483,0.749732,0.00325684,0.00372253,0.00113894,0.465604,0.499821,1.99744,
0,0,0.497483,-0.750268,1.62241,0.852121,0.921844,0.621854,0.500179,1.21702,
0,0,0.497483,-0.562768,1.60597,0.752449,1,0.621854,0.375179,1.09064,
0,0,0.497483,-0.375268,1.55887,0.553528,1,0.621854,0.250179,1.04086,
0,0,0.497483,-0.187768,1.42528,0.278505,1,0.621854,0.125179,1.01986,
0,0,0.497483,-0.000267751,1.07166,0.0708462,1,0.621854,0.0001785,0.973388,
0,0,0.497483,0.187232,0.62865,0.0633567,1,0.621854,0.124821,1.10086,
0,0,0.497483,0.374732,0.2022,0.0576054,0.258727,0.621854,0.249821,1.78412,
0,0,0.497483,0.562232,0.00472426,0.000418773,0.00418497,0.621854,0.374821,1.99723,
0,0,0.497483,0.749732,0.0133508,0.00962139,0.00620626,0.621854,0.499821,1.99326,
0,0,0.00188335,-0.00149811,1.60358,1,1,0.00235418,0.000998742,0.00335292,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.00188335,-0.751498,1.67042,1,0.977627,0.00235418,0.500999,0.514517,
0,0,0.00188335,-0.563998,1.65395,1,1,0.00235418,0.375999,0.378353,
0,0,0.00188335,-0.376498,1.63753,1,1,0.00235418,0.250999,0.253353,
0,0,0.00188335,-0.188998,1.62116,1,1,0.00235418,0.125999,0.128353,
0,0,0.00188335,-0.00149811,1.60358,1,1,0.00235418,0.000998742,0.00335292,
0,0,0.00188335,0.186002,1.22378,1,1,0.00235418,0.124001,0.126355,
0,0,0.00188335,0.373502,0.881884,1,0.822635,0.00235418,0.249001,0.384556,
0,0,0.00188335,0.561002,0.609992,1,0.305371,0.00235418,0.374001,0.811192,
0,0,0.00188335,0.748502,0.432884,1,0.104696,0.00235418,0.499001,0.949901,
0,0,0.126883,-0.751498,1.65869,1,0.977627,0.158604,0.500999,0.670767,
0,0,0.126883,-0.563998,1.6421,1,1,0.158604,0.375999,0.534603,
0,0,0.126883,-0.376498,1.62555,1,1,0.158604,0.250999,0.409603,
0,0,0.126883,-0.188998,1.60906,1,1,0.158604,0.125999,0.284603,
0,0,0.126883,-0.00149811,1.35061,1,1,0.158604,0.000998742,0.159603,
0,0,0.126883,0.186002,0.933311,1,1,0.158604,0.124001,0.282605,
0,0,0.126883,0.373502,0.563583,1,0.666415,0.158604,0.249001,0.658127,
0,0,0.126883,0.561002,0.258506,0.785772,0.146623,0.158604,0.374001,1.24707,
0,0,0.126883,0.748502,0.121329,0.459081,0.02264,0.158604,0.499001,1.60239,
0,0,0.251883,-0.751498,1.64725,1,0.977627,0.314854,0.500999,0.827017,
0,0,0.251883,-0.563998,1.63054,1,1,0.314854,0.375999,0.690853,
0,0,0.251883,-0.376498,1.61387,1,1,0.314854,0.250999,0.565853,
0,0,0.251883,-0.188998,1.55814,1,1,0.314854,0.125999,0.440853,
0,0,0.251883,-0.00149811,1.20434,0.449617,1,0.314854,0.000998742,0.692945,
0,0,0.251883,0.186002,0.769779,0.272772,1,0.314854,0.124001,0.937113,
0,0,0.251883,0.373502,0.357758,0.143205,0.469085,0.314854,0.249001,1.5496,
0,0,0.251883,0.561002,0.0133067,0.0246197,0.00429707,0.314854,0.374001,1.98044,
0,0,0.251883,0.748502,0.00584018,0.0028545,0.00378114,0.314854,0.499001,1.99615,
0,0,0.376883,-0.751498,1.63524,1,0.920416,0.471104,0.500999,1.01182,
0,0,0.376883,-0.563998,1.61928,0.954621,1,0.471104,0.375999,0.871103,
0,0,0.376883,-0.376498,1.59388,0.957306,1,0.471104,0.250999,0.744684,
0,0,0.376883,-0.188998,1.48432,0.499303,1,0.471104,0.125999,0.861919,
0,0,0.376883,-0.00149811,1.12015,0.138349,1,0.471104,0.000998742,0.927826,
0,0,0.376883,0.186002,0.679673,0.0708918,1,0.471104,0.124001,1.08651,
0,0,0.376883,0.373502,0.254234,0.0432241,0.337532,0.471104,0.249001,1.72365,
0,0,0.376883,0.561002,0.0187507,4.38173e-05,0.0167118,0.471104,0.374001,1.98952,
0,0,0.376883,0.748502,0.00306583,0.00280579,0.00148267,0.471104,0.499001,1.99777,
0,0,0.00195416,-0.00109788,1.60257,1,1,0.00244269,0.000731919,0.00317461,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.00195416,-0.751098,1.67038,1,0.978121,0.00244269,0.500732,0.514098,
0,0,0.00195416,-0.563598,1.65391,1,1,0.00244269,0.375732,0.378175,
0,0,0.00195416,-0.376098,1.63749,1,1,0.00244269,0.250732,0.253175,
0,0,0.00195416,-0.188598,1.62112,1,1,0.00244269,0.125732,0.128175,
0,0,0.00195416,-0.00109788,1.60257,1,1,0.00244269,0.000731919,0.00317461,
0,0,0.00195416,0.186402,1.2228,1,1,0.00244269,0.124268,0.126711,
0,0,0.00195416,0.373902,0.881004,1,0.82047,0.00244269,0.249268,0.38649,
0,0,0.00195416,0.561402,0.609252,1,0.304298,0.00244269,0.374268,0.812034,
0,0,0.00195416,0.748902,0.432369,1,0.103999,0.00244269,0.499268,0.950367,
0,0,0.126954,-0.751098,1.65865,1,0.978121,0.158693,0.500732,0.670348,
0,0,0.126954,-0.563598,1.64205,1,1,0.158693,0.375732,0.534425,
0,0,0.126954,-0.376098,1.62551,1,1,0.158693,0.250732,0.409425,
0,0,0.126954,-0.188598,1.60902,1,1,0.158693,0.125732,0.284425,
0,0,0.126954,-0.00109788,1.34959,1,1,0.158693,0.000731919,0.159425,
0,0,0.126954,0.186402,0.932331,1,1,0.158693,0.124268,0.282961,
0,0,0.126954,0.373902,0.562671,1,0.664418,0.158693,0.249268,0.659893,
0,0,0.126954,0.561402,0.257874,0.785223,0.145663,0.158693,0.374268,1.24824,
0,0,0.126954,0.748902,0.121127,0.459082,0.0219866,0.158693,0.499268,1.60276,
0,0,0.251954,-0.751098,1.64721,1,0.978121,0.314943,0.500732,0.826598,
0,0,0.251954,-0.563598,1.63049,1,1,0.314943,0.375732,0.690675,
0,0,0.251954,-0.376098,1.61383,1,1,0.314943,0.250732,0.565675,
0,0,0.251954,-0.188598,1.55779,1,1,0.314943,0.125732,0.440675,
0,0,0.251954,-0.00109788,1.20333,0.448814,1,0.314943,0.000731919,0.693269,
