CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0.196102,0.150063,0.854496,1,0.628358,0.00487289,0.477485,
0.196102,0.225063,0.903961,1,0.632238,0.00487289,0.477485,
0.196102,0.300063,0.969682,1,0.634178,0.00487289,0.477485,
-0.00284764,4.35927e-05,1.74153,1,1,0.00355955,0.477479,
0,0,1.75519,1,1,0.00355955,0.477479,
0.0471524,-0.299956,1.5964,1,0.645824,0.00355955,0.477479,
0.0471524,-0.224956,1.5676,1,0.647766,0.00355955,0.477479,
0.0471524,-0.149956,1.5465,1,0.65165,0.00355955,0.477479,
0.0471524,-0.0749564,1.5335,1,0.663307,0.00355955,0.477479,
0.0471524,4.35927e-05,1.52886,1,1,0.00355955,0.477479,
0.0471524,0.0750436,1.53269,1,0.61672,0.00355955,0.477479,
0.0471524,0.150044,1.54489,1,0.628356,0.00355955,0.477479,
0.0471524,0.225044,1.56522,1,0.632237,0.00355955,0.477479,
0.0471524,0.300044,1.59328,1,0.634177,0.00355955,0.477479,
0.0971524,-0.299956,1.38432,1,0.645824,0.00355955,0.477479,
0.0971524,-0.224956,1.34384,1,0.647766,0.00355955,0.477479,
0.0971524,-0.149956,1.31393,1,0.65165,0.00355955,0.477479,
0.0971524,-0.0749564,1.29542,1,0.663307,0.00355955,0.477479,
0.0971524,4.35927e-05,1.28887,1,1,0.00355955,0.477479,
0.0971524,0.0750436,1.29447,1,0.61672,0.00355955,0.477479,
0.0971524,0.150044,1.31204,1,0.628356,0.00355955,0.477479,
0.0971524,0.225044,1.34107,1,0.632237,0.00355955,0.477479,
0.0971524,0.300044,1.38073,1,0.634177,0.00355955,0.477479,
0.147152,-0.299956,1.17508,1,0.645824,0.00355955,0.477479,
0.147152,-0.224956,1.12201,1,0.647766,0.00355955,0.477479,
0.147152,-0.149956,1.08236,1,0.65165,0.00355955,0.477479,
0.147152,-0.0749564,1.05763,1,0.663307,0.00355955,0.477479,
0.147152,4.35927e-05,1.04887,1,1,0.00355955,0.477479,
0.147152,0.0750436,1.05646,1,0.61672,0.00355955,0.477479,
