dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
50.351,-0.0337556,0.677592,0.535135,0.464865,0.179974,0.325787,0.770245,0.630013,0.0447719
50.552,0.0894112,0.687345,0.405095,0.594905,0.533331,0.370615,0.942857,0.426664,0.335678
50.751,0.198084,0.695715,0,1,0.247833,0.173154,0.420988,0.198267,0.543981
50.952,0.282513,0.702998,0.216152,0.783848,0.221928,0.00688494,0.395507,0.177543,0.0216297
51.153,0.335471,0.705284,0,1,0,0,0,0,0
51.353,0.367032,0.705667,0,1,0,0,0,0,0
51.555,0.368489,0.705648,0,1,0,0,0,0,0
51.755,0.368162,0.705657,0,1,0,0.0163301,0.0163301,0,0
51.956,0.3678,0.705665,0,1,0.0490167,0.395211,0.444228,0.0392134,0.258409
52.156,0.371667,0.705604,0,1,0.0454829,0.307812,0.353295,0.0363863,0.53298
52.356,0.377571,0.7057,0,1,0.00495299,0.298533,0.303485,0.00396239,0.562132
52.556,0.377742,0.705675,0,1,0.0172752,0.233218,0.250493,0.0138202,0.767325
52.761,0.379273,0.705934,0,1,0.0165318,0.200412,0.216944,0.0132254,0.870388
52.962,0.381757,0.706785,0,1,0.0212252,0.145592,0.166817,0.0169801,1.04261
53.162,0.384586,0.708432,0,1,0.0197588,0.0943343,0.114093,0.015807,1.20364
53.363,0.386322,0.709969,0,1,0.0171432,0.27118,0.288323,0.0137146,0.851936
53.562,0.38798,0.712098,0,1,0.0142714,0.167771,0.182042,0.0114171,0.527068
53.766,0.389343,0.714596,0,1,0.0113231,0.0613249,0.072648,0.00905844,0.192658
53.966,0.390144,0.716409,0,1,0.788682,0.0225888,0.811271,0.169054,-0.0120171
54.167,0.394636,0.727954,0,1,0.581982,0.0577149,0.639697,0.334415,0.0613082
54.368,0.411076,0.774323,0,1,0.397471,0.0650366,0.462508,0.482023,0.09988
54.568,0.430593,0.83314,0,1,0.199927,0.0807661,0.280693,0.640058,0.165982
54.768,0.460425,0.933415,0,1,0.504012,0.0293801,0.533393,0.40321,0.0923004
54.969,0.4897,1.04634,0,1,0.38146,0.0119371,0.393397,0.305168,0.0375016
55.17,0.507938,1.12468,0,1,0.175126,3.22966e-05,0.175159,0.140101,0.000101463
55.37,0.520013,1.17938,0,1,0,0,0,0,0
55.57,0.522989,1.1942,0,1,0,0,0,0,0
55.771,0.523133,1.19509,0,1,0,0,0,0,0
55.971,0.523139,1.19514,0,1,0,0,0,0,0
56.171,0.52314,1.19515,0,1,0,0,0,0,0
56.374,0.523149,1.19522,0,1,0,0,0,0,0
56.575,0.523133,1.1952,0,1,0,0,0,0,0
56.775,0.523136,1.19521,0,1,0,0,0,0,0
56.978,0.523148,1.19528,0,1,0,0,0,0,0
57.176,0.523139,1.19524,0,1,0,0,0,0,0
57.377,0.523153,1.19535,0,1,0,0,0,0,0
57.577,0.52318,1.19555,0,1,0,0,0,0,0
